dst,absolutetrust_hybrid_score
143,0.20000114296536914
737,0.17317554350497055
790,0.16883662455860893
1179,0.15332024500508995
1719,0.1499016638910569
4416,0.12373442386782638
780,0.11939516818051352
34,0.10783847281813216
1516,0.10782385079239144
1,0.10553543451291032
791,0.10519867540851058
28,0.10322159070730824
1619,0.10309012574913294
1621,0.10098629320304507
401,0.09520057764928819
4415,0.0930970584766071
77,0.09125703855666771
725,0.091255828750681
1753,0.08981208848129513
44,0.08836382485009592
125,0.08783967917345643
550,0.08639093442206214
2512,0.08468881731683153
135,0.08310465652721431
735,0.08218285253446113
849,0.08218277590374024
1440,0.08126232741617355
726,0.08073636766098666
1191,0.07705458957507329
31,0.07614471638011172
418,0.07613418355212341
2239,0.07600262984878368
1029,0.07587117103489642
4969,0.07100731983605377
1623,0.06929659073002119
738,0.06890221551869219
1401,0.06863920455735807
438,0.06799256805363794
1756,0.06785020036005489
74,0.06734512966776664
1164,0.0666666723780494
433,0.06653533170041354
385,0.06574624093978712
64,0.06561579538872389
918,0.06535190130754709
717,0.06522025277141841
2120,0.06495742820484172
549,0.06456279454147998
1909,0.06340224396210756
883,0.06239776422029016
449,0.06166997829092585
19,0.06127749088131905
1178,0.06101249178172254
1247,0.06009235247347501
103,0.0583826429980276
715,0.05811965812003764
1432,0.057988171149514434
398,0.05798816634028399
1606,0.057856822763633915
301,0.05772564407691458
295,0.057725268966815645
4282,0.05772522220330317
1620,0.05693712335078978
1617,0.056804773761379636
329,0.05588428766807391
546,0.05562194882974325
2066,0.05562145547439265
776,0.05456937498115086
1749,0.0544378698224852
681,0.05430650407728955
1172,0.054174884944115695
2969,0.05391196807894413
66,0.053648997440535307
645,0.05364891518737671
395,0.052860466207152366
388,0.05272849077377129
104,0.05246676899251972
443,0.05242663519434179
1075,0.05220250474892627
555,0.052071012829880726
3281,0.0518080363716316
1894,0.051676685485584205
563,0.051547412023534196
5038,0.051413722136876
1399,0.05128205432172692
854,0.05062458970337555
46,0.050493172073981074
81,0.05036520106823352
3655,0.05023128696709368
35,0.04983581981868883
3540,0.04983570842803044
634,0.049704936930800116
1274,0.04970454084005178
210,0.04970419063839348
1429,0.04970418636408829
786,0.04944125793790062
1405,0.049046690748079
1014,0.04891519555563831
1577,0.04891518737672583
29,0.04852236426707434
2227,0.04852079486407352
1409,0.04838921827979747
843,0.04799474267775676
576,0.04786333442751279
723,0.04746877359075196
141,0.047338664622177076
1023,0.04707430295030182
722,0.04681137502236688
1173,0.046679815910585135
107,0.04654867449882664
663,0.04641688124395673
689,0.046416855839957305
1903,0.046416832668465836
1396,0.046287011406625854
5958,0.04628551871495266
13,0.046106447100804776
187,0.045759509996366174
2118,0.04562811937641766
5952,0.04536489151873766
2144,0.04510225933913125
83,0.04497195741199418
374,0.04483894214759627
879,0.04470743558343797
2228,0.044576054524361586
3685,0.04457593688362918
127,0.04431353044125663
733,0.044312983810075035
112,0.04418240930228369
169,0.043787084324161306
1712,0.04378701093051089
2656,0.043523999811353506
1613,0.04339251586313488
860,0.04339250924893577
382,0.04326110065611462
138,0.04314013186313765
1918,0.04312956534501163
65,0.04299803854558064
1177,0.04286654189692144
586,0.042209832769730726
402,0.0420775960768386
4161,0.041946204287885466
72,0.04181474542814266
551,0.0418145956607495
1111,0.04168310336032069
101,0.04155699140776969
1390,0.04102565195540038
2236,0.040499768517329254
696,0.0404385268764469
51,0.04036931701318204
2113,0.04036825032288813
2115,0.04036824493312972
2464,0.04010530393235588
1024,0.03984222464122121
664,0.03971180038576183
45,0.039710833218506464
4045,0.039579265941085164
728,0.03944774419044436
850,0.03944773521359349
1190,0.03931685290685712
381,0.03931623931623931
639,0.03918479337234825
440,0.03918477121609773
2643,0.038922140881786554
93,0.03892186476856426
3505,0.03892182260868493
429,0.038921810625244246
447,0.03892178553750629
100,0.0385294639311029
1304,0.03852758499574271
763,0.038527352143946605
431,0.03828530060793758
299,0.038264335754622306
1323,0.03786984963882443
1635,0.03773834774331906
96,0.03760913214986698
426,0.03747534516765286
1129,0.03734385741732261
789,0.03694947689032894
1935,0.03681796541159245
61,0.03681795120352515
1288,0.036817905540584284
556,0.03681789663669869
4170,0.036291954616189434
783,0.03616055340398243
165,0.03591843670261213
105,0.0357674866690619
1815,0.035506498086935415
1283,0.03550305589218632
3899,0.035502966446096525
1471,0.03543861204114393
1751,0.03537157874557338
2375,0.035371511164040935
53,0.035371494100574594
195,0.03524002232807133
637,0.03523997509768064
973,0.034977062606686336
452,0.034845737527120876
55,0.03484554501051709
684,0.03484549870256292
235,0.03471403572490391
793,0.0347140315990627
413,0.03458251150558842
650,0.03445109873850337
1438,0.03431958130792334
71,0.034077542554025675
1576,0.034056645061953335
69,0.03405664311168129
427,0.034056572555211474
4162,0.0339280131619634
2059,0.03379369822193296
1892,0.033793601216605004
1020,0.033793584833619585
1754,0.03366365009923097
4412,0.033662304543241164
4454,0.03366206443129519
2636,0.03353083495104839
1207,0.03353068057603369
4037,0.033530571992110444
54,0.03340542826031764
10,0.03340260162298716
2704,0.033337935160471135
697,0.03326764058678885
590,0.033267615274572435
2995,0.03300477322546215
2174,0.03287523056454805
446,0.03287510518090189
766,0.032610166190609066
225,0.032482273652343664
1400,0.03247884817596313
686,0.032478697104233054
2528,0.032478632478632474
368,0.0323471886660069
79,0.03234715097161615
140,0.03195420593270425
5144,0.03195293602779307
1776,0.0319527827979776
421,0.03182527872896113
369,0.031558185404339245
394,0.031428271954424346
21,0.03142809917970149
1574,0.031426801323215056
1895,0.031426745125197775
1975,0.03129520052596975
2,0.03116507625737155
4061,0.031163734752955297
223,0.031163708086785
2444,0.03103224943881651
3483,0.030971071255145696
233,0.030900748279758455
408,0.030769288205032577
4040,0.03076923084751941
1411,0.030637758742609572
2244,0.030507377360087667
6,0.03050720134577001
2694,0.03050624589086127
120,0.0303794081868793
3420,0.030374811106094534
1397,0.030374759203287565
2652,0.030243386855372808
1908,0.030243261215498952
751,0.030123237338214343
1642,0.030111889193566686
20,0.030111768573307027
68,0.029984950187586058
1268,0.029982804912492195
853,0.02985296624726473
2063,0.02984990268680591
2161,0.02984891256835541
1476,0.02984880064565431
2062,0.029717360534635664
26,0.029717329166073555
289,0.029585816853494935
4168,0.029456089531124753
1163,0.029454306794349124
1716,0.029454306377383294
37,0.02933323809070835
3410,0.029326150457121475
390,0.02932298356013946
665,0.029322822371228758
2052,0.029191441753865646
3065,0.02919132275078474
3502,0.0291913214990138
2685,0.029059832340067464
78,0.02866809901999372
333,0.028665420449221577
997,0.028665374877691698
3428,0.028665351742274813
993,0.02853385930309091
1392,0.028402526002200966
588,0.028402400775235495
4931,0.02840236686390532
848,0.028270903492629913
110,0.028141620094030147
3138,0.028139760868637308
4414,0.028139560401175802
1437,0.028139411069153412
4055,0.02800855869634592
1181,0.02800793960184908
975,0.028007890491900153
3174,0.027876404688099488
2028,0.027746440728572366
4123,0.02774500955337354
844,0.027744921531043673
1224,0.027481946943229422
1857,0.027481930721780512
888,0.027481922529103347
1910,0.02737331562548691
39,0.027351459471455675
923,0.027350596115105152
3264,0.027350516341419565
2215,0.027350438282595767
699,0.027230540615512052
354,0.02721898353780177
965,0.0272189349112426
312,0.027089637556073007
2637,0.027089494214466422
4120,0.027087442472057847
2696,0.02695602196385814
33,0.026825620343125085
3892,0.026824880788796083
1256,0.026824616731984
2956,0.026824496423457203
3984,0.026824477578680055
3499,0.02669672383504071
1912,0.026693433043713386
2218,0.026693118853748355
1108,0.026693075893340166
1817,0.026693021154258624
2864,0.02669296515450361
3249,0.026659753625668584
1596,0.026561539412076788
1778,0.02643012745131403
319,0.0264299923916932
122,0.026298674903416655
1521,0.026298648159942702
1905,0.026298563976598712
282,0.02629852024911641
76,0.026174186990620973
559,0.02616857203201822
5250,0.026167073120409865
383,0.02616700904223466
2169,0.02616699564223186
1561,0.026166995397764625
1315,0.026035691022951734
97,0.026035659783483555
557,0.02603558939580939
729,0.025904590765529423
3866,0.025904010519395133
172,0.02577258706490613
5177,0.02577251808021038
415,0.025641135786394098
453,0.02564106745153349
3932,0.025641025641025633
2498,0.025641025641025633
5199,0.025641025641025633
5215,0.025579881248571072
824,0.025509552309234473
5972,0.025400929037715705
1755,0.025378522383175516
1255,0.02537804117962197
198,0.025261606201045297
1276,0.025246947151688865
2687,0.025246548323471396
2065,0.025246548323471396
1312,0.025115060064963553
2712,0.025113873346256636
4946,0.02498361207166107
2714,0.02498359220132643
3879,0.024722874595992463
558,0.024628541889012912
2775,0.024591081662334452
133,0.024591012669381594
863,0.024589093613511828
999,0.02445759536228772
5142,0.02432642245984904
3534,0.024326264156248674
116,0.02419465743655259
236,0.02419461770349234
320,0.024190200268721703
