dst,peertrust_score
1,0.7171398732485211
2,0.818395484051991
3,0.748811935882543
4,0.7786368888970764
5,0.7633272357460898
6,0.770564225054855
7,0.7167129626941526
8,0.7575075968773519
9,0.747803197998992
10,0.7081986055889761
11,0.6863908423831262
12,0.7266565827315311
13,0.7335222804043983
14,0.7595329315149083
15,0.7243608144302182
16,0.7343920696696999
17,0.7234493093861415
18,0.7684584028886657
19,0.7359333800859905
20,0.8445100650613394
21,0.7394412370653033
22,0.7223066590258591
23,0.7914735389751806
24,0.7395097186419155
25,0.7182126131852268
26,0.6866596408420506
27,0.7311061991118937
28,0.7954037896566213
29,0.7214905701539722
30,0.7161980826922172
31,0.7429718427928608
32,0.7449515926594577
33,0.6876658764832685
34,0.7409638107853125
35,0.7199529392916977
36,0.7244768111443899
37,0.7962283438626193
38,0.7525014862185135
39,0.7638099107957202
40,0.707831282660766
41,0.7203461300317535
42,0.7018071866381212
43,0.697404962621573
44,0.7511678918032618
45,0.7145504666860237
46,0.7481927260124863
47,0.7667031301547949
48,0.7218704894932009
49,0.7218704894932009
50,0.7188073898206697
51,0.700516308918983
52,0.7218346637660368
53,0.7815471945168144
54,0.7799619060898026
55,0.7973068265265199
56,0.795910868446406
57,0.7152244914158301
58,0.6801890698986299
59,0.7728054611907208
60,0.8132529630570503
61,0.7429718427928608
62,0.7401032256392203
63,0.7514267144035903
64,0.7311061991118937
65,0.7061579226544757
66,0.7358002999087598
67,0.6942523776916896
68,0.7624784394376154
69,0.6827308825664127
70,0.7063547885375688
71,0.8433734431702744
72,0.7137244200742229
73,0.6972333359542613
74,0.8132529630570503
75,0.6978858411139468
76,0.7710842908985366
77,0.7111052478904643
78,0.6922233975111862
79,0.6761373446311795
80,0.747696623987092
81,0.7290700827406035
82,0.7146768463228623
83,0.7049474069052446
84,0.6983033756861747
85,0.6650602008999877
86,0.7644370125287216
87,0.6883087492540466
88,0.722891522717378
89,0.6958445609830544
90,0.6887928659854263
91,0.7906626029721322
