alpha,AUC,Precision@100,KendallTau,Spearman
0.1,0.6935443144516455,0.66,0.24682380303580714,0.35589691941448276
0.3,0.6886625704906995,0.65,0.23819892194308623,0.34450677706810834
0.5,0.6869792105041663,0.65,0.23583130752547657,0.34162782259595564
0.7,0.6867267065061864,0.65,0.23583130752547657,0.34129191561670624
0.9,0.6866425385068597,0.65,0.23574674986770477,0.3410567807312317
