alpha,AUC,Precision@100,KendallTau,Spearman
0.1,0.7414530876987523,0.7,0.3694874848247957,0.5170419520999153
0.3,0.7687491554434485,0.7,0.4122334298320022,0.5708325837070922
0.5,0.7836133507499662,0.71,0.4331940663678819,0.5980651424396789
0.7,0.798477546056484,0.72,0.4574283814950486,0.6245807503887467
0.9,0.8144678167650106,0.76,0.4808560543134741,0.6517380956822809
