A_good,B_endorser_of_A,C_bad,D_endorser_of_C,E_baseline,F_falling,G_rising,timeslot,A_good_display,B_endorser_of_A_display,C_bad_display,D_endorser_of_C_display,E_baseline_display,F_falling_display,G_rising_display
0.1519286334514618,0.1519286334514618,0.1519286334514618,0.1519286334514618,0.1519286334514618,0.1922846883535385,0.04807117208838463,0,0.825009286403656,0.825009286403656,0.825009286403656,0.825009286403656,0.825009286403656,0.9281353950500488,0.4640676975250244
0.19161921019770986,0.1541665621860633,0.1287213497876682,0.15071966207243054,0.142904386235437,0.1904888814812529,0.041378948039433365,1,0.9265279605525892,0.8310632939755935,0.7593889958702019,0.8217201993893597,0.8001322705245413,0.9237912042426109,0.430555091964619
0.21915726470229457,0.157308329635722,0.11169709609908131,0.1543219997096147,0.13699082716170347,0.17849612919786131,0.042027353493722726,2,0.9908705999606001,0.8394887234311338,0.7073916811243148,0.8314821457488272,0.7834021353586111,0.8942385916557275,0.4339153646183525
0.23865630818887157,0.16410645044404565,0.09740189586879737,0.151417271460173,0.13382387337955953,0.17309894887944388,0.04149425177910895,3,1.0340117314064405,0.8574362355238577,0.660575880192588,0.8236196793068844,0.7742938413421785,0.8806152911345049,0.43115455230161737
0.2519249092604135,0.16546911676015802,0.0864621056725476,0.1498530333565842,0.13071936770201548,0.16948923458436607,0.046081232663915034,4,1.062366976843055,0.8609887589774374,0.6223746728563215,0.8193543735390062,0.7652599344700004,0.8713849728667347,0.45436100441646543
0.26522593736434763,0.16723184141964065,0.07747507212827714,0.14358295919445954,0.12634900826027118,0.16760543728812388,0.052528744344879946,5,1.0900514663960952,0.8655626202418807,0.5891420228897967,0.8020297109154865,0.7523586624782191,0.8665289141458553,0.48510697239378264
0.2745436783898643,0.1702795320100755,0.06944995276904772,0.1328313051405795,0.1218621401869592,0.16716580450274915,0.06386658700072459,6,1.1090336690951237,0.8734141648754836,0.5577954718401126,0.7714170383325716,0.7388791430522161,0.8653917056294891,0.5349040192064799
0.2889384453765327,0.17417000282195497,0.06234754129548105,0.11978413119958682,0.11595826754130317,0.16188061939522608,0.07691999236991515,7,1.1377364524734481,0.8833355040087307,0.5285044796439811,0.7325523242568744,0.7207586548804241,0.8516015352796242,0.5870277385415615
0.30058141810443484,0.17934936985784722,0.05659562055573626,0.10771320104079146,0.1089485077695849,0.16354672426636116,0.08326415840524413,8,1.1604330024210223,0.8963733468612036,0.50353587765888,0.6946618894561194,0.698633891825855,0.8559727359637677,0.6107564405354182
0.30628965884460174,0.18310865411363925,0.05265717756167531,0.10106485079863545,0.1083443261309746,0.16377124165769374,0.0847630908927799,9,1.1713998769095957,0.9057189246278914,0.48569965562712253,0.6728822568457923,0.6966940369105841,0.8565600753166518,0.6162293787216364
0.3128628488582884,0.18447708742887375,0.049714621192549595,0.09568297893735708,0.10966875204197025,0.15725346020168135,0.09033925133927956,10,1.1839026830297887,0.9090969979498088,0.4719337908463668,0.654721120508083,0.7009393762288054,0.8393423030584914,0.6361759552199159
0.3192512208035213,0.18698887925521024,0.04909758554952258,0.09802521902602941,0.11118225109297061,0.1456923314473576,0.08976151282538813,11,1.1959287057344914,0.9152650867717734,0.468995930965143,0.6626861860915857,0.7057595092497928,0.8078995264784862,0.6341384529089361
0.3208433310154233,0.18565868457534634,0.049053551817019654,0.10062153814627815,0.11558054407385011,0.13445973223028326,0.09378161814179897,12,1.1989070535071085,0.9120037866684281,0.46878557159990336,0.671404863622037,0.7195837945999399,0.7761311747325119,0.6481833454164488
0.3244386392722528,0.18386314949345348,0.04876378676554212,0.10002617352413148,0.12070770757016296,0.12470930570246966,0.09749023767198738,13,1.205605700027871,0.9075830043200851,0.4673989352893615,0.6694156088620201,0.7353710151442808,0.7474608281020914,0.6608753776397661
0.3268528273076236,0.18270389518980107,0.048455823149238006,0.09848388761171159,0.12583047414851986,0.11609205721062112,0.10158003538248474,14,1.210082917133431,0.9047173317950247,0.4659206882169821,0.664234760081455,0.7508132418820069,0.721174331423119,0.6745951070927891
0.3305301023838904,0.18255112148993852,0.048061123091823775,0.0967089691272929,0.12354986162176404,0.11103859398435968,0.10755922830093055,15,1.2168709293428903,0.9043389985370114,0.4640192145282031,0.6582219851161706,0.743978077678034,0.705303410632567,0.6941652128911163
0.33103352490491883,0.1794703393017166,0.04811982589886621,0.09579696400062922,0.12148600941505037,0.10799824031114694,0.11609409616767177,16,1.217797270309815,0.8966755935519214,0.464302509175775,0.6551109819891733,0.7377379766417246,0.6955804170575379,0.7211806644878727
0.3320268836843255,0.17772647327141486,0.048403349434046485,0.09448778219627199,0.11843937200474693,0.10565136462067926,0.12326377478851507,17,1.2196230724718922,0.8923085790554401,0.4656683427768397,0.6506191391584624,0.7284287107063163,0.6879811868798762,0.7431162163837818
0.3330042246259289,0.17405262974728666,0.04907688112290447,0.09513522319056866,0.11551865471750693,0.0989262085763378,0.1342851780194667,18,1.2214167701174574,0.8830378141777646,0.4688970328660782,0.6528443917916027,0.7193911127713708,0.6657247287144991,0.7756272284591426
0.3325270512968129,0.16831883388196603,0.05051341907020919,0.0992944329680022,0.1138687964719172,0.09688486524603701,0.13859160106505544,19,1.2205413511265082,0.8683711048804007,0.47571011912144273,0.6669625624400892,0.7142354011067984,0.6588203065345253,0.7879659718359978
0.33176133770699234,0.16357715047536492,0.051238906098479316,0.1008894152034858,0.11242212261197804,0.0965773457216052,0.14353272218209442,20,1.2191352644097069,0.8560523547830675,0.47911407756523644,0.6722979846107054,0.7096838093839126,0.6577739040375433,0.8018893909859284
0.3320684675621845,0.15886164931182525,0.05197108950270171,0.10193537791782843,0.11261089241803258,0.0944242701003818,0.1481272531870456,21,1.2196994444036557,0.8436232505787031,0.4825251091623147,0.6757739955575913,0.7102793802672199,0.6504004382299496,0.8146226698772655
0.3371763776417125,0.1584632629158858,0.05189159626510559,0.09838821896355537,0.1103685781615537,0.0894936292903642,0.15421733676182284,22,1.2290444141018142,0.8425647855584568,0.4821559408196409,0.6639120581498186,0.7031722620835955,0.6331914870091288,0.8312001375679424
0.33894522037354957,0.1524900751222739,0.052556728422157174,0.0979297437161627,0.10963209520379545,0.08428684018890296,0.1641582969731582,23,1.232264008755227,0.8265322356374173,0.4852361727357763,0.662363383535359,0.7008222217602719,0.6144957640588626,0.8575716707306444
0.34047489561128125,0.15077019261701644,0.0523430593053029,0.09359651605632233,0.11090562395723218,0.0820790510581807,0.16982966139466402,24,1.2350415103706194,0.8218579335409703,0.48424880556151817,0.6475433513922632,0.7048809795478952,0.6063943838300694,0.8722596419920475
0.34070096595114574,0.15375232031569963,0.05211421590218015,0.08941262756138639,0.11402295698165044,0.07986803352508831,0.17012787976284924,25,1.2354514670601728,0.8299460193376039,0.48318908021784507,0.6329048676341581,0.7147187189921599,0.5981712047502752,0.8730251435884105
0.3421762274002623,0.15626573919014447,0.051314663833398146,0.08232546576025958,0.11708570219944296,0.07917863598374268,0.1716525656327499,26,1.2381233778396945,0.8367021641969425,0.47946813655718945,0.607303949111121,0.7242540616755315,0.595583990052761,0.8769284429386013
